A,B,C,expectedMax,expectedErr
16,12,8,16,none
8,16,12,16,none
12,8,16,16,none
16,16,12,16,none
16,12,16,16,none
12,16,16,16,none
16,16,16,16,none
8,8,14,14,none
8,14,8,14,none
14,8,8,14,none
-10,12,8,0,IndexOutOfRangeException
56,12,8,0,IndexOutOfRangeException
16,-10,8,0,IndexOutOfRangeException
16,56,8,0,IndexOutOfRangeException
16,12,-10,0,IndexOutOfRangeException
16,12,56,0,IndexOutOfRangeException
1,1,1,1,none
50,50,50,50,none
0,12,12,0,IndexOutOfRangeException
51,12,12,0,IndexOutOfRangeException
12,0,12,0,IndexOutOfRangeException
12,51,12,0,IndexOutOfRangeException
12,12,0,0,IndexOutOfRangeException
12,12,51,0,IndexOutOfRangeException

