STT,CaseType,Input,Left,Right,Expected
1,Valid,"5,3,8,1,2",0,4,"1,2,3,5,8"
2,Valid,"",0,0,""
3,Invalid,"5,3,8,1,2",-2,5,""
4,Valid,"5,3,8,1,2",7,4,"5,3,8,1,2"
5,Invalid,"5,3,8,1,2",1,9,""
6,Valid,"-2147483648,3,8,1,2",1,4,"-2147483648,1,2,3,8"
7,Valid,"2147483647,3,8,1,2",0,4,"1,2,3,8,2147483647"
8,Valid,"8,7,5,3,2",0,3,"3,5,7,8,2"
9,Valid,"8,7,5,3,2",3,4,"8,7,5,2,3"
10,Valid,"8,7,5,3,2",2,4,"8,7,5,2,3"
11,Invalid,"3,8,6,4,2,1",-1,3,""
12,Valid,"3,8,6,4,2,1",1,1,"3,8,6,4,2,1"
13,Invalid,"3,8,6,4,2,1",3,5,""
